,movement,volumes
CBU150084,1.846444671,69.0
CBU150085,0.5622123782,69.0
CBU150087,0.9269096151,69.0
CBU150089,0.721159062,69.0
CBU150090,0.891365236,69.0
CBU150092,1.790246605,69.0
CBU150093,0.7366806776,69.0
CBU150094,0.7915689258,69.0
CBU150095,0.784846819,69.0
CBU150096,0.4190848358,69.0
CBU150097,0.8515734225,69.0
CBU150098,1.060735918,69.0
CBU150099,1.125927964,69.0
CBU150100,2.439588496,69.0
CBU150101,1.408229678,69.0
CBU150102,0.9579944136,69.0
CBU150103,0.925920444,69.0
CBU150243,0.6304439285,69.0
CBU150244,2.305807089,69.0
CBU150245,2.954410079,69.0
CBU150246,1.928700823,69.0
CBU150248,1.157170917,69.0
CBU150249,0.5962902531,69.0
CBU150250,1.087549799,69.0
CBU150251,0.9568311191,69.0
CBU150253,1.578695684,69.0
CBU150254,0.4660115153,69.0
CBU150255,0.8791222407,69.0
CBU150256,0.909770589,69.0
CBU150257,0.4985505521,69.0
CBU150264,0.8375605466,69.0
CBU150272,2.348759215,69.0
CBU150273,3.90981058,69.0
CBU150274,0.4916564684,69.0
CBU150275,0.975546729,69.0
CBU150276,0.9714030004,69.0
CBU150277,2.295689568,69.0
CBU150283,1.707269694,69.0
CBU150284,3.709768069,69.0
CBU150286,3.186693871,69.0
CBU150313,1.230559362,69.0
CBU150316,1.187275731,69.0
CBU150318,0.6423205772,69.0
CBU150319,3.635305094,69.0
CBU150320,2.87203276,69.0
CBU150324,4.075105678,69.0
CBU150343,1.234056788,69.0
CBU150355,4.201381057,69.0
CBU150356,2.121473161,69.0
CBU150357,1.795903795,69.0
CBU150358,0.7283002664,69.0
CBU150364,2.245506821,69.0
CBU150365,2.867665137,69.0
CBU150431,0.7752688382,69.0
CBU150432,0.9904961176,69.0
CBU150434,0.8909087005,69.0
CBU150445,1.841676695,69.0
CBU150446,1.277965147,69.0
CBU150458,1.4052889,69.0
CBU150460,0.9479609204,69.0
CBU150461,3.79402637,69.0
CBU150462,0.6020802173,69.0
CBU150463,3.638910447,69.0
CBU150464,0.6364653023,69.0
CBU150491,1.038680157,69.0
CBU150492,1.073665015,69.0
CBU150494,0.7450686124,69.0
CBU150519,2.274007987,69.0
CBU150520,1.719733054,69.0
CBU150521,0.7757608489,69.0
CBU150557,1.051125753,69.0
CBU150558,1.93031764,69.0
CBU150573,0.7884042135,69.0
CBU150574,0.3715270977,69.0
CBU150582,0.9160092639,69.0
CBU150583,1.863121261,69.0
CBU150584,0.6137343454,69.0
CBU150598,2.78160206,69.0
CBU150599,2.023250556,69.0
CBU150600,0.7681834706,69.0
CBU150602,1.02772128,69.0
CBU150603,1.014064344,69.0
CBU150612,0.4569124491,69.0
CBU150617,0.6805644523,69.0
CBU150649,0.414316199,69.0
CBU150650,0.9984039372,69.0
CBU150651,0.6576769916,69.0
CBU160001,0.817525829,69.0
CBU160002,1.317889334,69.0
CBU160010,1.256028109,69.0
CBU160014,1.012101763,69.0
CBU160015,0.5801819767,69.0
CBU160016,0.7856270697,69.0
CBU160049,0.5163225844,69.0
CBU160069,1.114059845,69.0
CBU160070,3.020895604,69.0
CBU160071,1.505700139,69.0
CBU160072,0.8248665943,69.0
CBU160095,0.6304865198,69.0
CBU160096,6.022959347,69.0
CBU160097,1.377835591,69.0
CBU160098,1.110667979,69.0
CBU160099,0.453096594,69.0
CBU160101,2.222892221,69.0
CBU160102,1.058762465,69.0
CBU160103,2.382935122,69.0
CBU160104,0.8957354796,69.0
CBU160105,1.865909594,69.0
CBU160123,0.6177946911,69.0
CBU160124,4.519299196,69.0
CBU160125,0.3535018627,69.0
CBU160126,1.013890427,69.0
CBU160127,0.4275169536,69.0
CBU160128,0.8353196371,69.0
CBU160129,0.8930877654,69.0
CBU160145,0.3954703044,69.0
CBU160174,1.099241439,69.0
CBU160175,2.851003829,69.0
CBU160177,4.849519744,69.0
CBU160178,0.9008526923,69.0
CBU160350,0.775183568,69.0
CBU160352,1.36141094,69.0
CBU160353,2.091481803,69.0
CBU160405,0.8954766135,69.0
CBU160410,1.117599044,69.0
CBU160411,0.8604708227,69.0
CBU160429,1.500326619,69.0
CBU160430,1.24111535,69.0
CBU160431,0.8555812038,69.0
CBU160432,0.4262806256,69.0
CBU160447,0.5262735896,69.0
CBU160461,1.556939592,69.0
CBU160462,0.5482784425,69.0
CBU160463,3.298282214,69.0
CBU160478,0.8337955348,69.0
CBU160487,0.4008558723,69.0
CBU160489,0.3633516769,69.0
CBU160518,2.253915558,69.0
CBU160535,0.9335938487,69.0
CBU160570,0.7899487445,69.0
CBU160584,0.9619511558,69.0
CBU160642,0.2690838154,69.0
CBU160649,1.1048878,69.0
CBU160650,0.3458600235,69.0
